Rank,Country,Download Speed (Mbps)
1,Qatar,314.78
2,United Arab Emirates,278.88
3,Kuwait,228.96
4,Iceland,169.80
5,Denmark,151.29
6,Norway,151.04
7,South Korea,150.25
8,Macau (SAR),142.15
9,China,133.75
10,Netherlands,130.61
11,United States,125.14
12,Bahrain,117.74
13,Saudi Arabia,117.12
14,Finland,111.87
15,India,104.15
16,Lithuania,104.06
17,Brunei,102.41
18,Sweden,101.48
19,Singapore,101.43
20,Bulgaria,100.95
21,Estonia,100.74
22,Croatia,100.39
23,Luxembourg,98.69
24,Canada,97.82
25,France,96.62
26,Switzerland,95.48
27,Portugal,93.15
28,Malaysia,91.69
29,Australia,91.29
30,Latvia,90.06
31,North Macedonia,89.73
32,Maldives,88.35
33,Austria,86.70
34,Greece,86.44
35,Czechia,82.40
36,Taiwan,80.81
37,Belgium,78.82
38,Oman,76.92
39,Malta,76.86
40,Slovenia,74.73
41,Mauritius,70.55
42,New Zealand,69.49
43,Cyprus,65.58
44,Uruguay,63.67
45,Poland,61.29
46,Romania,60.88
47,Hong Kong (SAR),60.46
48,Brazil,59.53
49,Montenegro,58.58
50,Germany,58.50
51,United Kingdom,55.01
52,Slovakia,54.75
53,Hungary,52.49
54,Serbia,51.44
55,Italy,51.42
56,Suriname,51.28
57,Albania,50.88
58,Vietnam,50.88
59,South Africa,50.70
60,Spain,49.97
61,Azerbaijan,49.62
62,Japan,46.46
63,Botswana,45.94
64,Thailand,45.05
65,Zimbabwe,44.68
66,Kazakhstan,43.62
67,Israel,43.33
68,Morocco,42.58
69,Georgia,41.65
70,Kosovo,41.34
71,Turkey,40.42
72,Ireland,40.36
73,Chile,37.98
73,Senegal,37.98
75,Moldova,35.98
76,Iran,35.66
77,Lebanon,33.77
78,Guatemala,32.92
79,Philippines,32.37
80,Costa Rica,31.30
81,Iraq,31.27
82,Jamaica,31.12
83,Ethiopia,31.09
84,Honduras,30.64
85,Uganda,30.14
86,Guyana,30.09
87,Trinidad and Tobago,29.97
88,Uzbekistan,29.93
89,Armenia,29.57
90,Kyrgyzstan,29.38
91,Argentina,28.76
92,Laos,28.24
93,El Salvador,28.16
94,Mexico,28.14
95,Fiji,27.83
96,Dominican Republic,27.05
97,Côte d'Ivoire,26.72
98,Indonesia,26.66
99,Tunisia,26.56
100,Ukraine,26.13
101,Jordan,26.05
102,Myanmar (Burma),26.01
103,Cambodia,25.69
104,Egypt,25.66
105,Russia,25.04
106,Tanzania,24.83
107,Algeria,24.64
108,Kenya,24.60
109,Namibia,23.88
110,Bangladesh,23.83
111,Nigeria,23.64
112,Bosnia and Herzegovina,23.27
113,Somalia,22.51
114,Rwanda,20.87
115,Ecuador,20.80
116,Peru,19.30
117,Zambia,18.97
118,Colombia,18.89
119,DR Congo,18.89
120,Panama,18.85
121,Pakistan,18.56
122,Sri Lanka,18.53
123,Paraguay,18.31
124,Papua New Guinea,17.64
125,Mozambique,17.44
126,Ghana,16.11
127,Nicaragua,15.66
128,Angola,15.23
129,Libya,15.13
130,Mongolia,14.23
131,Nepal,14.08
132,Syria,13.87
133,Cameroon,13.72
134,Belize,11.96
135,Sudan,11.79
136,Venezuela,11.66
137,Belarus,11.50
138,Bolivia,10.24
139,Haiti,10.09
140,Tajikistan,6.90
141,Afghanistan,6.14
142,Yemen,5.44
143,East Timor,5.35
144,Cuba,4.15
